LSOA11CD,population
E01011950,1247
E01011951,1393
E01011952,1669
E01011953,2303
E01011954,2373
E01011955,1283
E01011957,1266
E01011959,3980
E01011960,1287
E01011961,1372
E01011962,1446
E01011963,1341
E01011964,1382
E01011965,1586
E01011966,1340
E01011967,1569
E01011968,2103
E01011969,1315
E01011970,1115
E01011971,1320
E01011974,1688
E01011975,1160
E01011977,1707
E01011978,1699
E01011979,1542
E01011980,1863
E01011981,1845
E01011982,1916
E01011983,1678
E01011984,1279
E01011985,1242
E01011986,1289
E01011987,1432
E01011988,1811
E01011989,1978
E01011990,1934
E01011991,1686
E01011992,2121
E01011993,1857
E01011994,1486
E01011995,1252
E01011996,1408
E01011997,2083
E01011998,2239
E01011999,2044
E01012000,1364
E01012001,2169
E01012002,1417
E01012003,2067
E01012005,1941
E01032540,1024
E01032541,2099
E01033465,2255
E01033466,2457
E01033467,2327
E01035188,2233
E01012007,1468
E01012008,1472
E01012009,2020
E01012010,1519
E01012011,2277
E01012012,1739
E01012013,1582
E01012014,1728
E01012015,1507
E01012016,1777
E01012017,1496
E01012018,1629
E01012019,1190
E01012020,1597
E01012021,1447
E01012022,3424
E01012023,1572
E01012024,1626
E01012025,1235
E01012026,2341
E01012027,2074
E01012030,1383
E01012031,1509
E01012032,1689
E01012033,1217
E01012034,1338
E01012035,1185
E01012036,1851
E01012037,1812
E01012038,1714
E01012039,1868
E01012040,1641
E01012041,1212
E01012042,1315
E01012043,1264
E01012044,1572
E01012045,1462
E01012046,2460
E01012047,1712
E01012048,1827
E01012049,1264
E01012050,1485
E01012051,1318
E01012052,1271
E01012053,1854
E01012054,1869
E01012055,2080
E01012056,2542
E01012057,1998
E01012058,2414
E01012059,1916
E01012060,1736
E01012061,1282
E01012062,2097
E01012063,1381
E01012065,1911
E01012066,2056
E01012067,1593
E01012068,2032
E01012071,1457
E01012073,1407
E01012074,1582
E01012075,1603
E01012076,1445
E01012077,1560
E01012078,1810
E01012079,1512
E01012080,1245
E01012081,1879
E01012082,1608
E01012083,1624
E01012084,1694
E01012085,1623
E01012088,1799
E01012089,1650
E01012090,1530
E01012091,2126
E01012092,2349
E01012093,2354
E01032552,1654
E01032593,2775
E01033469,2266
E01035189,1549
E01035190,1986
E01035191,1945
E01035192,1511
E01035193,1784
